purchase_order_id,product_id,supplier_id,order_date,quantity,unit_price,gasto_real,gasto_minimo_proyectado
23,1,3,2024-12-11,130.0,89.45,11628.5,6536.400000000001
29,1,3,2024-09-07,12.0,103.44,1241.28,603.36
81,1,3,2024-11-14,338.0,132.37,44741.060000000005,16994.64
125,1,1,2024-06-20,460.0,130.38,59974.799999999996,23128.8
171,1,3,2024-03-13,369.0,106.8,39409.2,18553.32
188,1,1,2024-06-20,62.0,130.9,8115.8,3117.36
336,1,1,2024-09-15,60.0,93.91,5634.599999999999,3016.8
399,1,3,2024-07-11,308.0,105.7,32555.600000000002,15486.24
400,1,2,2024-05-01,116.0,116.68,13534.880000000001,5832.4800000000005
410,1,1,2024-11-24,182.0,66.09,12028.380000000001,9150.960000000001
456,1,1,2024-08-08,288.0,90.85,26164.8,14480.64
481,1,2,2024-11-15,334.0,113.14,37788.76,16793.52
616,1,2,2024-08-25,132.0,89.81,11854.92,6636.96
646,1,1,2024-05-07,290.0,95.47,27686.3,14581.2
678,1,1,2024-11-19,12.0,70.84,850.08,603.36
736,1,3,2024-12-06,362.0,80.38,29097.559999999998,18201.36
753,1,1,2024-10-09,306.0,86.91,26594.46,15385.68
778,1,1,2024-08-27,45.0,109.1,4909.5,2262.6
783,1,3,2024-11-13,493.0,123.87,61067.91,24788.04
799,1,1,2024-09-05,286.0,85.54,24464.440000000002,14380.08
888,1,1,2024-07-24,69.0,98.9,6824.1,3469.32
911,1,2,2024-10-16,134.0,130.57,17496.379999999997,6737.52
1044,1,2,2024-08-21,43.0,71.41,3070.6299999999997,2162.04
1067,1,2,2024-11-10,391.0,121.63,47557.33,19659.48
1092,1,3,2024-02-22,385.0,53.29,20516.65,19357.8
1244,1,1,2024-05-05,366.0,74.72,27347.52,18402.48
1253,1,3,2024-05-22,480.0,69.22,33225.6,24134.4
1315,1,2,2024-06-01,318.0,101.52,32283.359999999997,15989.04
1333,1,3,2024-12-28,7.0,112.49,787.43,351.96000000000004
1347,1,2,2024-02-16,123.0,126.16,15517.68,6184.4400000000005
1368,1,1,2024-10-22,344.0,77.83,26773.52,17296.32
1415,1,1,2024-07-19,97.0,93.3,9050.1,4877.16
1508,1,3,2024-05-10,99.0,74.55,7380.45,4977.72
1552,1,2,2024-12-15,22.0,128.41,2825.02,1106.16
1693,1,3,2024-05-16,272.0,120.54,32786.880000000005,13676.16
1706,1,3,2024-11-24,273.0,87.4,23860.2,13726.44
1905,1,2,2024-01-03,162.0,78.61,12734.82,8145.360000000001
1968,1,3,2024-11-02,466.0,97.52,45444.32,23430.48
2233,1,3,2024-11-28,372.0,89.52,33301.439999999995,18704.16
2253,1,2,2024-09-25,183.0,84.39,15443.37,9201.24
2259,1,2,2024-12-13,350.0,71.47,25014.5,17598.0
2286,1,2,2024-01-15,461.0,104.93,48372.73,23179.08
2327,1,3,2024-11-11,76.0,103.59,7872.84,3821.28
2338,1,2,2024-07-07,343.0,107.35,36821.049999999996,17246.04
2360,1,1,2024-10-26,303.0,96.18,29142.54,15234.84
2402,1,3,2024-05-15,141.0,104.23,14696.43,7089.4800000000005
2409,1,2,2024-06-25,152.0,116.41,17694.32,7642.56
2525,1,1,2024-04-30,2.0,116.63,233.26,100.56
2690,1,1,2024-06-30,66.0,87.01,5742.660000000001,3318.48
2719,1,2,2024-03-08,139.0,88.76,12337.640000000001,6988.92
2777,1,1,2024-02-15,418.0,89.32,37335.759999999995,21017.04
2880,1,3,2024-07-15,217.0,104.34,22641.780000000002,10910.76
2923,1,3,2024-03-28,480.0,133.53,64094.4,24134.4
2949,1,1,2024-02-29,196.0,81.13,15901.48,9854.880000000001
3116,1,3,2024-10-02,319.0,76.8,24499.2,16039.32
3120,1,2,2024-05-01,108.0,79.45,8580.6,5430.24
3287,1,3,2024-11-21,222.0,91.06,20215.32,11162.16
3391,1,2,2024-08-03,224.0,58.67,13142.08,11262.720000000001
3493,1,3,2024-09-20,287.0,98.17,28174.79,14430.36
3514,1,2,2024-11-24,494.0,65.94,32574.36,24838.32
3601,1,1,2024-05-30,200.0,119.97,23994.0,10056.0
3729,1,3,2024-04-25,277.0,117.62,32580.74,13927.56
3772,1,1,2024-10-09,70.0,104.84,7338.8,3519.6
3788,1,3,2024-09-15,3.0,91.17,273.51,150.84
3839,1,2,2024-12-16,58.0,91.95,5333.1,2916.2400000000002
3923,1,2,2024-05-02,373.0,58.76,21917.48,18754.44
3974,1,2,2024-05-11,438.0,81.32,35618.159999999996,22022.64
3975,1,2,2024-11-25,240.0,87.71,21050.399999999998,12067.2
3999,1,2,2024-04-12,270.0,105.78,28560.6,13575.6
4074,1,3,2024-07-06,205.0,114.55,23482.75,10307.4
4211,1,2,2024-01-03,267.0,94.88,25332.96,13424.76
4215,1,2,2024-08-16,156.0,84.02,13107.119999999999,7843.68
4223,1,3,2024-03-06,125.0,126.66,15832.5,6285.0
4277,1,2,2024-10-31,142.0,86.11,12227.62,7139.76
4350,1,2,2024-02-02,252.0,131.77,33206.04,12670.56
4457,1,2,2024-02-20,163.0,119.42,19465.46,8195.64
4499,1,2,2024-07-22,228.0,84.29,19218.120000000003,11463.84
4599,1,2,2024-06-18,386.0,92.95,35878.700000000004,19408.08
4701,1,1,2024-05-15,472.0,128.49,60647.280000000006,23732.16
4746,1,2,2024-01-30,447.0,93.86,41955.42,22475.16
4774,1,2,2024-03-06,345.0,90.64,31270.8,17346.600000000002
4787,1,1,2024-07-20,182.0,98.48,17923.36,9150.960000000001
4837,1,2,2024-01-31,186.0,145.18,27003.48,9352.08
4930,1,3,2024-02-07,324.0,130.35,42233.4,16290.720000000001
4943,1,2,2024-11-23,73.0,79.95,5836.35,3670.44
4966,1,2,2024-01-04,126.0,124.95,15743.7,6335.28
4997,1,2,2024-04-21,294.0,124.46,36591.24,14782.32
5150,1,2,2024-12-02,323.0,100.55,32477.649999999998,16240.44
5168,1,1,2024-05-15,435.0,106.89,46497.15,21871.8
5177,1,3,2024-06-19,230.0,108.53,24961.9,11564.4
5252,1,2,2024-01-19,479.0,89.39,42817.81,24084.12
5298,1,1,2024-09-24,422.0,129.18,54513.96000000001,21218.16
5304,1,2,2024-07-16,322.0,80.16,25811.52,16190.16
5325,1,2,2024-02-17,275.0,99.74,27428.5,13827.0
5443,1,1,2024-07-27,367.0,124.32,45625.439999999995,18452.760000000002
5467,1,3,2024-11-14,107.0,113.52,12146.64,5379.96
5484,1,2,2024-07-03,326.0,82.27,26820.02,16391.28
