purchase_order_id,product_id,supplier_id,order_date,unit_price,quantity
1,5,3,2024-09-27,90.85,270.0
2,42,3,2024-11-30,112.5,393.0
3,39,2,2024-05-13,111.5,331.0
4,41,2,2024-06-19,101.84,240.0
5,28,2,2024-01-28,117.75,486.0
6,7,3,2024-05-15,122.21,108.0
7,9,2,2024-08-28,84.23,499.0
8,8,3,2024-12-09,122.65,400.0
9,12,3,2024-08-15,82.02,397.0
10,34,1,2024-10-13,115.43,292.0
11,33,2,2024-10-29,118.94,300.0
12,48,2,2024-02-03,96.51,100.0
13,39,3,2024-01-02,98.93,81.0
14,23,2,2024-12-27,94.02,270.0
15,24,2,2024-07-13,83.51,349.0
16,37,3,2024-04-03,87.24,17.0
17,35,1,2024-11-23,null,193.0
18,44,2,2024-11-03,117.11,212.0
19,40,1,2024-05-14,99.71,353.0
20,22,1,2024-07-22,79.8,126.0
21,27,2,2024-09-06,77.08,310.0
22,35,2,2024-05-26,97.88,126.0
23,1,3,2024-12-11,89.45,130.0
24,35,2,2024-12-13,123.72,145.0
25,37,1,2024-09-10,85.95,256.0
26,47,1,2024-11-29,111.95,23.0
27,14,2,2024-06-24,87.59,214.0
28,3,1,2024-05-04,94.33,129.0
29,1,3,2024-09-07,103.44,12.0
30,5,3,2024-05-10,110.39,141.0
31,26,2,2024-02-19,108.45,462.0
32,39,2,2024-04-02,88.8,458.0
33,14,2,2024-11-05,102.01,268.0
34,39,3,2024-08-07,92.5,57.0
35,27,1,2024-11-29,71.37,86.0
36,9,2,2024-11-29,104.58,274.0
37,15,2,2024-01-20,125.25,103.0
38,15,2,2024-07-23,null,339.0
39,26,3,2024-03-31,106.35,350.0
40,42,2,2024-12-20,105.04,143.0
41,13,1,2024-06-21,47.61,423.0
42,42,2,2024-07-07,154.55,334.0
43,32,3,2024-11-07,128.62,329.0
44,39,3,2024-01-02,115.18,453.0
45,49,2,2024-12-26,101.44,417.0
46,11,3,2024-06-16,55.38,176.0
47,32,2,2024-01-24,103.65,133.0
48,4,1,2024-12-30,100.64,344.0
49,30,3,2024-03-08,71.81,264.0
50,37,2,2024-07-12,108.96,147.0
51,23,1,2024-03-24,124.73,436.0
52,39,2,2024-07-25,106.81,12.0
53,45,2,2024-02-18,106.75,328.0
54,15,2,2024-02-01,108.03,392.0
55,43,1,2024-11-12,93.54,55.0
56,29,1,2024-06-18,115.17,230.0
57,36,3,2024-05-08,130.48,468.0
58,13,2,2024-04-11,100.83,null
59,32,2,2024-02-04,84.89,349.0
60,7,3,2024-11-02,72.29,233.0
61,42,1,2024-07-17,110.02,162.0
62,22,2,2024-10-27,112.28,82.0
63,28,1,2024-03-17,107.28,449.0
64,2,2,2024-11-16,95.29,459.0
65,42,3,2024-01-14,105.54,47.0
66,45,2,2024-12-14,89.29,364.0
67,5,3,2024-05-10,85.78,291.0
68,6,1,2024-08-25,80.07,499.0
69,28,2,2024-10-06,80.28,160.0
70,28,2,2024-03-05,110.61,179.0
71,44,2,2024-05-17,94.61,362.0
72,44,1,2024-09-25,86.37,208.0
73,20,2,2024-08-15,72.76,390.0
74,30,2,2024-07-19,113.42,393.0
75,11,3,2024-05-21,121.39,40.0
76,39,2,2024-04-09,79.52,214.0
77,28,2,2024-05-17,97.51,432.0
78,25,2,2024-06-16,81.35,456.0
79,39,3,2024-04-08,97.16,352.0
80,33,3,2024-11-06,112.16,154.0
81,1,3,2024-11-14,132.37,338.0
82,27,2,2024-11-22,91.06,293.0
83,11,1,2024-12-20,114.0,436.0
84,13,2,2024-03-06,114.49,396.0
85,41,2,2024-11-30,96.98,166.0
86,3,2,2024-11-24,123.2,482.0
87,39,1,2024-02-16,93.45,452.0
88,6,3,2024-12-02,108.71,272.0
89,8,2,2024-08-18,88.53,445.0
90,27,2,2024-11-03,110.63,24.0
91,9,1,2024-05-25,108.62,462.0
92,37,3,2024-07-25,123.75,401.0
93,33,3,2024-05-25,136.71,115.0
94,42,2,2024-05-31,118.32,351.0
95,42,3,2024-10-05,113.41,260.0
96,44,3,2024-05-19,92.19,306.0
97,24,1,2024-05-30,54.69,364.0
98,15,2,2024-01-21,125.97,226.0
99,33,1,2024-09-10,137.12,102.0
100,32,2,2024-03-04,106.26,486.0
101,32,2,2024-08-05,79.88,131.0
102,24,2,2024-03-12,127.56,264.0
103,41,3,2024-06-10,122.1,12.0
104,11,1,2024-05-09,556.6176927586378,419.0
105,49,3,2024-03-09,102.81,322.0
106,49,2,2024-08-12,104.86,181.0
107,11,1,2024-09-02,67.91,349.0
108,12,2,2024-03-08,78.42,471.0
109,39,3,2024-04-16,121.83,161.0
110,2,3,2024-04-18,101.39,114.0
111,3,1,2024-11-23,81.0,18.0
112,49,1,2024-04-12,86.61,104.0
113,37,2,2024-05-20,75.98,186.0
114,49,2,2024-03-05,101.51,342.0
115,17,2,2024-05-13,115.05,462.0
116,49,2,2024-07-17,123.53,93.0
117,2,3,2024-06-03,86.64,301.0
118,2,2,2024-03-19,92.92,143.0
119,28,2,2024-09-06,110.02,143.0
120,33,2,2024-03-27,119.05,301.0
121,23,1,2024-10-30,107.42,452.0
122,37,2,2024-08-28,125.35,100.0
123,32,2,2024-03-28,136.34,453.0
124,33,1,2024-11-19,67.4,451.0
125,1,1,2024-06-20,130.38,460.0
126,19,2,2024-12-22,125.97,62.0
127,2,2,2024-01-17,76.49,84.0
128,5,3,2024-08-10,109.28,428.0
129,44,2,2024-10-20,112.72,276.0
130,26,3,2024-11-05,78.2,167.0
131,32,2,2024-08-06,98.78,295.0
132,6,2,2024-08-21,103.13,129.0
133,32,2,2024-09-04,78.4,364.0
134,39,2,2024-02-21,93.22,67.0
135,4,2,2024-01-15,128.02,47.0
136,39,3,2024-11-19,133.67,457.0
137,11,3,2024-04-21,77.93,374.0
138,17,2,2024-07-02,46.71,310.0
139,38,2,2024-12-25,124.75,148.0
140,24,2,2024-01-07,136.45,250.0
141,5,3,2024-02-20,117.54,137.0
142,11,1,2024-11-09,94.26,95.0
143,34,1,2024-08-28,78.33,238.0
144,6,1,2024-09-01,112.34,284.0
145,22,3,2024-12-30,121.09,320.0
146,11,3,2024-07-04,86.8,35.0
147,48,1,2024-10-13,105.5,296.0
148,16,1,2024-04-01,91.31,381.0
149,33,2,2024-04-15,115.08,358.0
150,9,3,2024-01-13,58.82,492.0
151,6,3,2024-05-25,107.93,258.0
152,16,1,2024-04-28,92.68,387.0
153,29,1,2024-07-21,136.64,270.0
154,3,2,2024-05-20,106.24,465.0
155,20,3,2024-04-24,114.15,355.0
156,36,2,2024-05-31,81.14,324.0
157,19,2,2024-02-26,95.57,47.0
158,26,2,2024-06-05,107.89,94.0
159,3,1,2024-11-05,92.81,182.0
160,19,3,2024-05-12,95.15,442.0
161,20,3,2024-06-11,105.26,190.0
162,32,2,2024-10-01,65.73,487.0
163,7,2,2024-07-01,89.51,51.0
164,11,2,2024-03-17,115.78,206.0
165,41,2,2024-11-20,92.13,304.0
166,33,1,2024-02-13,146.73,411.0
167,40,1,2024-07-24,101.81,333.0
168,39,1,2024-02-07,62.96,439.0
169,18,2,2024-11-13,108.88,125.0
170,40,2,2024-01-22,78.88,212.0
171,1,3,2024-03-13,106.8,369.0
172,11,1,2024-08-28,88.69,433.0
173,28,2,2024-06-02,90.01,408.0
174,25,3,2024-08-24,120.7,266.0
175,50,1,2024-01-05,68.33,135.0
176,23,2,2024-08-08,90.29,372.0
177,31,2,2024-11-05,88.06,273.0
178,30,2,2024-03-26,126.74,278.0
179,42,3,2024-06-25,93.02,315.0
180,35,2,2024-09-15,81.17,300.0
181,7,3,2024-08-07,104.62,267.0
182,16,3,2024-02-07,82.11,298.0
183,26,2,2024-05-21,85.01,279.0
184,48,3,2024-08-22,113.8,374.0
185,11,2,2024-07-21,42.68,444.0
186,49,2,2024-11-24,80.72,null
187,2,1,2024-10-20,86.46,488.0
188,1,1,2024-06-20,130.9,62.0
189,48,2,2024-05-04,108.91,367.0
190,12,2,2024-11-21,99.37,54.0
191,5,2,2024-03-05,97.94,338.0
192,37,2,2024-10-07,102.47,375.0
193,32,2,2024-09-28,104.91,365.0
194,39,2,2024-08-31,102.51,474.0
195,9,1,2024-01-15,138.93,112.0
196,41,3,2024-08-13,91.22,478.0
197,35,3,2024-05-10,103.49,269.0
198,19,1,2024-07-13,100.76,324.0
199,48,2,2024-10-19,118.79,107.0
200,16,3,2024-07-27,86.14,283.0
201,3,1,2024-04-22,92.66,371.0
202,20,2,2024-08-31,69.77,168.0
203,24,3,2024-06-14,119.74,74.0
204,33,2,2024-07-09,69.54,236.0
205,33,2,2024-09-13,110.79,92.0
206,24,2,2024-11-22,133.62,85.0
207,11,2,2024-08-05,138.51,372.0
208,11,2,2024-12-24,93.88,75.0
209,49,1,2024-10-01,93.08,84.0
210,8,1,2024-02-21,98.52,245.0
211,36,3,2024-06-06,118.01,228.0
212,38,2,2024-12-28,97.36,83.0
213,40,3,2024-02-24,94.53,394.0
214,20,3,2024-01-14,121.45,15.0
215,35,1,2024-09-25,100.87,493.0
216,48,3,2024-12-05,96.94,301.0
217,25,2,2024-03-30,82.48,181.0
218,35,3,2024-01-27,120.54,338.0
219,25,2,2024-03-29,104.94,263.0
220,29,2,2024-02-10,99.77,414.0
221,18,1,2024-10-30,62.76,78.0
222,46,2,2024-09-24,119.09,229.0
223,18,2,2024-05-17,77.32,233.0
224,2,2,2024-01-06,109.04,30.0
225,33,2,2024-08-29,84.43,374.0
226,35,2,2024-06-10,78.54,155.0
227,16,2,2024-06-28,118.56,305.0
228,41,2,2024-10-23,102.03,185.0
229,36,1,2024-01-06,100.82,448.0
230,33,1,2024-09-27,139.01,357.0
231,4,2,2024-09-28,138.7,447.0
232,33,2,2024-06-04,95.06,432.0
233,14,1,2024-03-25,73.86,255.0
234,21,1,2024-07-18,128.28,169.0
235,48,3,2024-01-10,73.11,81.0
236,20,1,2024-05-17,109.5,286.0
237,8,2,2024-08-29,94.64,210.0
238,7,2,2024-07-19,101.52,259.0
239,3,1,2024-06-04,124.53,476.0
240,17,3,2024-10-01,84.26,37.0
241,33,3,2024-08-12,87.84,286.0
242,48,3,2024-03-08,115.16,54.0
243,12,2,2024-07-02,135.78,469.0
244,42,1,2024-07-13,149.48,369.0
245,22,1,2024-02-11,70.98,212.0
246,39,1,2024-05-30,91.61,342.0
247,22,2,2024-03-24,79.37,484.0
248,46,2,2024-05-13,116.93,100.0
249,30,2,2024-11-04,101.22,85.0
250,38,3,2024-12-19,117.56,472.0
251,38,3,2024-10-24,92.1,213.0
252,45,1,2024-01-30,113.99,391.0
253,42,2,2024-01-09,96.42,264.0
254,33,2,2024-06-18,102.84,470.0
255,8,1,2024-10-16,88.48,86.0
256,27,1,2024-06-16,127.2,63.0
257,27,2,2024-12-09,74.75,447.0
258,34,3,2024-05-24,97.73,192.0
259,21,3,2024-08-15,135.62,414.0
260,30,3,2024-11-01,125.52,482.0
261,33,2,2024-03-16,83.14,93.0
262,28,1,2024-08-10,84.15,253.0
263,47,1,2024-06-25,110.28,138.0
264,33,3,2024-07-07,113.0,453.0
265,5,3,2024-10-28,123.8,49.0
266,48,2,2024-02-15,71.81,121.0
267,19,2,2024-01-17,126.32,39.0
268,4,2,2024-03-06,81.97,34.0
269,35,3,2024-12-25,126.69,358.0
270,49,2,2024-09-17,67.69,266.0
271,17,3,2024-05-02,77.72,9.0
272,44,2,2024-08-18,134.42,188.0
273,28,3,2024-05-04,135.52,96.0
274,30,2,2024-04-21,102.01,133.0
275,29,2,2024-09-28,93.41,163.0
276,46,2,2024-03-21,99.68,139.0
277,5,1,2024-09-02,108.29,298.0
278,6,1,2024-12-12,110.1,80.0
279,35,3,2024-11-23,94.11,91.0
280,41,2,2024-08-02,61.29,256.0
281,37,1,2024-12-17,89.13,148.0
282,24,3,2024-08-22,68.9,179.0
283,29,3,2024-03-22,115.32,257.0
284,49,3,2024-10-20,107.38,218.0
285,46,3,2024-11-05,97.78,267.0
286,5,3,2024-03-16,94.98,317.0
287,31,2,2024-01-15,139.32,79.0
288,35,2,2024-08-07,null,null
289,33,3,2024-08-17,104.11,104.0
290,11,2,2024-09-21,89.24,304.0
291,21,2,2024-09-20,125.8,338.0
292,32,1,2024-04-19,102.21,472.0
293,23,3,2024-11-02,87.03,284.0
294,33,2,2024-07-18,88.19,345.0
295,3,1,2024-08-13,113.24,215.0
296,18,2,2024-07-03,119.05,75.0
297,25,2,2024-01-31,112.71,225.0
298,42,2,2024-04-11,113.15,336.0
299,31,1,2024-09-15,93.91,292.0
300,33,2,2024-04-08,89.12,343.0
301,3,3,2024-12-04,102.97,70.0
302,40,3,2024-10-25,98.36,363.0
303,46,1,2024-10-11,null,190.0
304,24,1,2024-09-22,99.36,472.0
305,50,1,2024-05-19,113.8,486.0
306,32,2,2024-10-28,92.19,106.0
307,47,3,2024-10-12,131.75,70.0
308,22,3,2024-12-15,74.96,10.0
309,23,3,2024-08-03,83.52,214.0
310,2,1,2024-02-01,88.54,471.0
311,27,3,2024-10-29,116.45,5.0
312,42,2,2024-03-28,104.25,28.0
313,2,1,2024-03-03,82.28,315.0
314,26,3,2024-10-05,62.55,393.0
315,17,2,2024-03-14,76.27,423.0
316,40,1,2024-11-01,64.93,241.0
317,33,2,2024-05-03,117.47,236.0
318,9,2,2024-09-25,78.82,92.0
319,43,2,2024-10-11,113.61,318.0
320,33,2,2024-04-30,110.88,345.0
321,48,1,2024-12-11,123.83,363.0
322,39,1,2024-07-30,85.71,38.0
323,29,2,2024-05-27,108.09,219.0
324,42,2,2024-03-18,102.43,152.0
325,39,1,2024-12-30,102.49,192.0
326,26,2,2024-01-14,99.62,121.0
327,35,2,2024-05-15,116.84,491.0
328,50,2,2024-10-30,114.65,171.0
329,25,3,2024-10-06,99.95,110.0
330,24,2,2024-03-19,90.81,144.0
331,13,1,2024-08-30,88.51,66.0
332,7,1,2024-07-11,100.71,322.0
333,36,3,2024-08-29,104.44,197.0
334,45,2,2024-02-20,98.17,46.0
335,20,2,2024-08-19,74.16,149.0
336,1,1,2024-09-15,93.91,60.0
337,8,3,2024-08-05,89.46,138.0
338,46,3,2024-07-24,100.3,490.0
339,16,2,2024-11-09,150.72,402.0
340,14,2,2024-11-06,108.6,90.0
341,12,1,2024-04-29,125.24,212.0
